employee_id,Datasets_Present,Positive_Votes,Vote_Ratio,is_selected,Priority_Score,Dataset_Bitmask,Bitmask_Decimal,shap_values
EMP0345,6,6,1,True,2,111111,63,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0056,6,6,1,True,2,111111,63,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0493,5,5,1,True,1.83333333333333,111110,62,"Latest_Vibe_Score(0.0530), Days_since_last_reward(0.0482), Average_Vibe_Score(0.0368), Latest_Work_Hours(0.0144), Days_since_last_activity(0.0129), Average_Emails_Sent(0.0128), Sick_Leaves(0.0085), Days_since_last_leave(0.0083), Onboarding_Feedback(0.0066), Initial_Training_Completed(0.0038)"
EMP0397,5,5,1,True,1.83333333333333,111110,62,"Latest_Vibe_Score(0.0530), Days_since_last_reward(0.0482), Average_Vibe_Score(0.0368), Latest_Work_Hours(0.0144), Days_since_last_activity(0.0129), Average_Emails_Sent(0.0128), Sick_Leaves(0.0085), Days_since_last_leave(0.0083), Onboarding_Feedback(0.0066), Initial_Training_Completed(0.0038)"
EMP0122,5,5,1,True,1.83333333333333,101111,47,"Average_Team_Messages_Sent(0.0407), Latest_Vibe_Score(0.0228), Average_Vibe_Score(0.0208), Total_Reward_Points(0.0125), Average_Performance_Rating(0.0098), Average_Emails_Sent(0.0084), Onboarding_Feedback(0.0082), Days_since_last_reward(0.0069), Latest_Work_Hours(0.0065), Average_Reward_Points(0.0054)"
EMP0323,5,5,1,True,1.83333333333333,111110,62,"Latest_Vibe_Score(0.0530), Days_since_last_reward(0.0482), Average_Vibe_Score(0.0368), Latest_Work_Hours(0.0144), Days_since_last_activity(0.0129), Average_Emails_Sent(0.0128), Sick_Leaves(0.0085), Days_since_last_leave(0.0083), Onboarding_Feedback(0.0066), Initial_Training_Completed(0.0038)"
EMP0303,5,5,1,True,1.83333333333333,111101,61,"Days_since_last_reward(0.0450), Onboarding_Feedback(0.0332), Promotion_Consideration_Ratio(0.0327), Unpaid_Leaves(0.0264), Casual_Leaves(0.0161), Latest_Promotion_Consideration(0.0102), Average_Emails_Sent(0.0096), Days_since_joining(0.0093), Latest_Work_Hours(0.0061), Average_Team_Messages_Sent(0.0057)"
EMP0452,5,5,1,True,1.83333333333333,11111,31,"Latest_Vibe_Score(0.1156), Average_Vibe_Score(0.0598), Average_Performance_Rating(0.0444), Latest_Performance_Rating(0.0383), Latest_Promotion_Consideration(0.0079), Promotion_Consideration_Ratio(0.0070), Average_Reward_Points(0.0049), Days_since_last_reward(0.0043), Days_since_joining(0.0043), Days_since_last_leave(0.0042)"
EMP0179,5,5,1,True,1.83333333333333,111011,59,"Latest_Vibe_Score(0.1120), Average_Vibe_Score(0.0239), Average_Team_Messages_Sent(0.0214), Latest_Promotion_Consideration(0.0123), Latest_Work_Hours(0.0105), Average_Reward_Points(0.0092), Days_since_last_activity(0.0070), Total_Reward_Points(0.0056), Days_since_last_reward(0.0052), Average_Work_Hours(0.0051)"
EMP0360,5,5,1,True,1.83333333333333,11111,31,"Latest_Vibe_Score(0.1156), Average_Vibe_Score(0.0598), Average_Performance_Rating(0.0444), Latest_Performance_Rating(0.0383), Latest_Promotion_Consideration(0.0079), Promotion_Consideration_Ratio(0.0070), Average_Reward_Points(0.0049), Days_since_last_reward(0.0043), Days_since_joining(0.0043), Days_since_last_leave(0.0042)"
EMP0269,5,5,1,True,1.83333333333333,111110,62,"Latest_Vibe_Score(0.0530), Days_since_last_reward(0.0482), Average_Vibe_Score(0.0368), Latest_Work_Hours(0.0144), Days_since_last_activity(0.0129), Average_Emails_Sent(0.0128), Sick_Leaves(0.0085), Days_since_last_leave(0.0083), Onboarding_Feedback(0.0066), Initial_Training_Completed(0.0038)"
EMP0472,5,5,1,True,1.83333333333333,110111,55,"Latest_Vibe_Score(0.0428), Average_Vibe_Score(0.0300), Average_Emails_Sent(0.0247), Average_Work_Hours(0.0179), Latest_Performance_Rating(0.0140), Annual_Leaves(0.0129), Latest_Promotion_Consideration(0.0122), Onboarding_Feedback(0.0080), Days_since_joining(0.0080), Initial_Training_Completed(0.0069)"
